isHalf,startDeviceLocation,destDeviceLocation,arriveTime
0,150995989,151018793,19497
0,150995989,151018793,20292
0,150995989,151018793,21072
1,150995989,151018785,21432
0,150995989,151018793,21792
1,150995989,151018785,22152
0,150995989,151018793,22512
1,150995989,151018785,22692
0,150995989,151018793,22992
1,150995989,151018785,23352
1,150995989,151018785,23642
0,150995989,151018793,23952
1,150995989,151018785,24242
1,150995989,151018785,24482
0,150995989,151018793,24662
0,150995989,151018793,24928
0,150995989,151018793,25127
0,150995989,151018793,25382
0,150995989,151018793,25622
0,150995989,151018793,25862
0,150995989,151018793,26102
0,150995989,151018793,26332
0,150995989,151018793,26542
0,150995989,151018793,26752
0,150995989,151018793,26962
0,150995989,151018793,27172
0,150995989,151018793,27382
0,150995989,151018793,27592
0,150995989,151018793,27802
0,150995989,151018793,28007
1,150995989,151018773,28187
0,150995989,151018793,28367
1,150995989,151018773,28547
0,150995989,151018793,28727
1,150995989,151018773,28907
0,150995989,151018793,29057
1,150995989,151018773,29177
0,150995989,151018793,29297
1,150995989,151018773,29417
0,150995989,151018793,29537
1,150995989,151018773,29657
0,150995989,151018793,29777
1,150995989,151018773,29897
0,150995989,151018793,30017
1,150995989,151018773,30137
0,150995989,151018793,30257
1,150995989,151018773,30377
0,150995989,151018793,30497
1,150995989,151018773,30617
0,150995989,151018793,30737
1,150995989,151018771,30857
0,150995989,151018793,30977
1,150995989,151018773,31097
0,150995989,151018793,31217
1,150995989,151018773,31337
0,150995989,151018793,31457
1,150995989,151018773,31577
0,150995989,151018793,31697
1,150995989,151018773,31817
0,150995989,151018793,31937
1,150995989,151018771,32057
0,150995989,151018793,32177
1,150995989,151018773,32297
0,150995989,151018793,32417
1,150995989,151018771,32537
0,150995989,151018793,32657
1,150995989,151018773,32777
0,150995989,151018793,32897
1,150995989,151018771,33017
0,150995989,151018793,33137
1,150995989,151018773,33257
0,150995989,151018793,33377
1,150995989,151018773,33497
0,150995989,151018793,33617
1,150995989,151018771,33737
0,150995989,151018793,33857
1,150995989,151018773,34002
0,150995989,151018793,34147
1,150995989,151018773,34297
0,150995989,151018793,34447
1,150995989,151018773,34597
0,150995989,151018793,34747
1,150995989,151018771,34897
0,150995989,151018793,35047
1,150995989,151018771,35197
0,150995989,151018793,35347
1,150995989,151018771,35497
0,150995989,151018793,35617
1,150995989,151018771,35737
0,150995989,151018793,35857
1,150995989,151018771,35977
0,150995989,151018793,36097
1,150995989,151018771,36217
0,150995989,151018793,36337
1,150995989,151018771,36457
0,150995989,151018793,36577
1,150995989,151018771,36697
0,150995989,151018793,36817
1,150995989,151018771,36937
0,150995989,151018793,37057
1,150995989,151018771,37192
0,150995989,151018793,37327
1,150995989,151018771,37477
0,150995989,151018793,37629
0,150995989,151018793,37929
0,150995989,151018793,38229
0,150995989,151018793,38529
0,150995989,151018793,38829
0,150995989,151018793,39189
0,150995989,151018793,39549
0,150995989,151018793,39909
0,150995989,151018793,40269
0,150995989,151018793,40629
0,150995989,151018793,40989
0,150995989,151018793,41349
0,150995989,151018793,41709
0,150995989,151018793,42069
0,150995989,151018793,42429
0,150995989,151018793,42789
0,150995989,151018793,43149
0,150995989,151018793,43509
0,150995989,151018793,43869
0,150995989,151018793,44229
0,150995989,151018793,44589
0,150995989,151018793,44949
0,150995989,151018793,45309
0,150995989,151018793,45669
0,150995989,151018793,46029
0,150995989,151018793,46389
0,150995989,151018793,46749
0,150995989,151018793,47109
0,150995989,151018793,47469
0,150995989,151018793,47829
0,150995989,151018793,48189
0,150995989,151018793,48549
0,150995989,151018793,48909
0,150995989,151018793,49269
0,150995989,151018793,49629
0,150995989,151018793,49989
0,150995989,151018793,50349
0,150995989,151018793,50709
0,150995989,151018793,51069
0,150995989,151018793,51429
0,150995989,151018793,51789
0,150995989,151018793,52149
0,150995989,151018793,52509
0,150995989,151018793,52869
0,150995989,151018793,53229
0,150995989,151018793,53589
0,150995989,151018793,53949
0,150995989,151018793,54309
0,150995989,151018793,54617
1,150995989,151018773,54797
0,150995989,151018793,54977
1,150995989,151018773,55157
0,150995989,151018793,55337
1,150995989,151018773,55517
0,150995989,151018793,55697
1,150995989,151018773,55877
0,150995989,151018793,56057
1,150995989,151018773,56237
0,150995989,151018793,56417
1,150995989,151018773,56597
0,150995989,151018793,56777
1,150995989,151018773,56957
0,150995989,151018793,57137
1,150995989,151018773,57317
0,150995989,151018793,57497
1,150995989,151018773,57677
0,150995989,151018793,57857
1,150995989,151018773,58037
0,150995989,151018793,58217
1,150995989,151018773,58397
0,150995989,151018793,58577
1,150995989,151018773,58757
0,150995989,151018793,58937
1,150995989,151018773,59117
0,150995989,151018793,59297
0,150995989,151018793,59447
1,150995989,151018773,59597
0,150995989,151018793,59747
0,150995989,151018793,59897
1,150995989,151018773,60047
0,150995989,151018793,60197
0,150995989,151018793,60347
1,150995989,151018773,60497
0,150995989,151018793,60647
0,150995989,151018793,60797
1,150995989,151018773,60947
0,150995989,151018793,61097
0,150995989,151018793,61247
1,150995989,151018773,61397
0,150995989,151018793,61547
0,150995989,151018793,61697
1,150995989,151018773,61847
0,150995989,151018793,61997
0,150995989,151018793,62147
1,150995989,151018773,62297
0,150995989,151018793,62447
0,150995989,151018793,62597
1,150995989,151018773,62747
0,150995989,151018793,62897
0,150995989,151018793,63047
1,150995989,151018773,63197
0,150995989,151018793,63347
0,150995989,151018793,63497
1,150995989,151018773,63647
0,150995989,151018793,63797
0,150995989,151018793,63947
1,150995989,151018773,64067
0,150995989,151018793,64187
0,150995989,151018793,64307
1,150995989,151018773,64427
0,150995989,151018793,64547
0,150995989,151018793,64667
1,150995989,151018773,64787
0,150995989,151018793,64907
0,150995989,151018793,65027
1,150995989,151018773,65147
0,150995989,151018793,65267
0,150995989,151018793,65387
1,150995989,151018773,65507
0,150995989,151018793,65627
0,150995989,151018793,65747
1,150995989,151018773,65867
0,150995989,151018793,65987
0,150995989,151018793,66107
1,150995989,151018773,66227
0,150995989,151018793,66347
0,150995989,151018793,66467
1,150995989,151018773,66587
0,150995989,151018793,66707
0,150995989,151018793,66827
1,150995989,151018773,66947
0,150995989,151018793,67067
0,150995989,151018793,67187
1,150995989,151018773,67307
0,150995989,151018793,67427
0,150995989,151018793,67547
1,150995989,151018773,67667
0,150995989,151018793,67787
0,150995989,151018793,67907
1,150995989,151018773,68027
0,150995989,151018793,68147
0,150995989,151018793,68267
1,150995989,151018773,68387
0,150995989,151018793,68507
1,150995989,151018773,68627
0,150995989,151018793,68777
1,150995989,151018773,68927
0,150995989,151018793,69077
1,150995989,151018771,69227
0,150995989,151018793,69377
1,150995989,151018773,69527
0,150995989,151018793,69677
1,150995989,151018771,69827
0,150995989,151018793,69977
1,150995989,151018773,70127
0,150995989,151018793,70277
1,150995989,151018771,70427
0,150995989,151018793,70577
1,150995989,151018773,70727
0,150995989,151018793,70877
1,150995989,151018771,71027
0,150995989,151018793,71177
1,150995989,151018771,71327
0,150995989,151018793,71477
1,150995989,151018773,71627
0,150995989,151018793,71807
1,150995989,151018771,71987
0,150995989,151018793,72167
1,150995989,151018773,72347
0,150995989,151018793,72527
1,150995989,151018771,72707
0,150995989,151018793,72887
1,150995989,151018773,73067
0,150995989,151018793,73247
1,150995989,151018771,73427
0,150995989,151018793,73607
1,150995989,151018773,73787
0,150995989,151018793,73967
1,150995989,151018771,74147
0,150995989,151018793,74327
1,150995989,151018771,74507
0,150995989,151018793,74687
1,150995989,151018771,74867
0,150995989,151018793,75047
1,150995989,151018771,75227
0,150995989,151018793,75407
1,150995989,151018771,75587
0,150995989,151018793,75767
1,150995989,151018771,75947
0,150995989,151018793,76127
1,150995989,151018771,76307
0,150995989,151018793,76547
1,150995989,151018771,76787
0,150995989,151018793,77027
1,150995989,151018771,77267
0,150995989,151018793,77507
1,150995989,151018771,77747
0,150995989,151018793,77987
1,150995989,151018771,78227
0,150995989,151018793,78467
1,150995989,151018771,78707
0,150995989,151018793,78947
1,150995989,151018771,79187
0,150995989,151018793,79427
1,150995989,151018771,79667
0,150995989,151018793,79907
1,150995989,151018771,80147
0,150995989,151018793,80387
1,150995989,151018771,80627
0,150995989,151018793,80867
1,150995989,151018771,81137
0,150995989,151018793,81407
0,150995989,151018793,81737
0,150995989,151018793,82017
0,150995989,151018793,82441
0,150995989,151018793,82924
1,150995989,151018771,83327
0,150995989,151018793,83697
