fromDeviceLocation,toDeviceLocation,interstationTime
150996033,150996031,125
150996031,150996029,161
150996029,150996027,188
150996027,150996025,132
150996025,150996023,138
150996023,150996021,125
150996021,150996019,137
150996019,150996017,120
150996017,150996015,135
150996015,150996013,145
150996013,150996011,114
150996011,150996009,160
150996009,150996007,151
150996007,150996005,169
150996005,150996003,130
150996003,150996001,130
150996001,150995999,145
150995999,150995997,130
150995997,150995995,150
150995995,150995993,155
150995993,150995991,144
150995989,150995991,139
150995991,150995993,126
150995993,150995995,170
150995995,150995997,140
150995997,150995999,110
150995999,150996001,113
150996001,150996003,133
150996003,150996005,118
150996005,150996007,149
150996007,150996009,166
150996009,150996011,152
150996011,150996013,131
150996013,150996015,123
150996015,150996017,131
150996017,150996019,115
150996019,150996021,119
150996021,150996023,130
150996023,150996025,137
150996025,150996027,138
150996027,150996029,173
150996029,150996031,163
150996031,150996033,104
