fromDeviceLocation,toDeviceLocation,interstationTime
151019567,151019565,145
151019565,151019563,170
151019563,151019561,176
151019561,151019559,180
151019559,151019557,192
151019557,151019555,133
151019555,151019553,131
151019553,151019551,141
151019551,151019549,120
151019549,151019547,165
151019547,151019545,192
151019545,151019543,135
151019541,151019543,191
151019543,151019545,138
151019545,151019547,187
151019547,151019549,170
151019549,151019551,120
151019551,151019553,144
151019553,151019555,133
151019555,151019557,134
151019557,151019559,194
151019559,151019561,180
151019561,151019563,170
151019563,151019565,137
