fromDeviceLocation,toDeviceLocation,interstationTime
150998075,150998073,85505
150998073,150998071,231
150998071,150998069,149
150998069,150998067,175
150998067,150998065,206
150998065,150998063,191
150998063,150998061,155
150998061,150998059,146
150998059,150998057,137
150998057,150998055,131
150998055,150998053,155
150998053,150998051,132
150998051,150998049,156
150998049,150998047,153
150998047,150998045,184
150998045,150998043,176
150998043,150998041,158
150998041,150998039,135
150998037,150998039,207
150998039,150998041,140
150998041,150998043,165
150998043,150998045,183
150998045,150998047,185
150998047,150998049,148
150998049,150998051,157
150998051,150998053,147
150998053,150998055,143
150998055,150998057,144
150998057,150998059,127
150998059,150998061,145
150998061,150998063,156
150998063,150998065,190
150998065,150998067,217
150998067,150998069,163
150998069,150998071,159
150998071,150998073,81422
