fromDeviceLocation,toDeviceLocation,interstationTime
150998323,150998321,185
150998321,150998319,130
150998319,150998317,130
150998317,150998315,195
150998315,150998313,445
150998313,150998311,180
150998311,150998309,82935
150998309,150998307,300
150998307,150998305,160
150998305,150998303,310
150998303,150998302,165
150998302,150998301,140
150998301,150998299,345
150998299,150998297,185
150998297,150998295,150
150998293,150998295,275
150998295,150998297,140
150998297,150998299,190
150998299,150998301,335
150998301,150998302,125
150998302,150998303,165
150998303,150998305,305
150998305,150998307,145
150998307,150998309,82625
150998309,150998311,330
150998311,150998313,200
150998313,150998315,445
150998315,150998317,200
150998317,150998319,150
150998319,150998321,130
