fromDeviceLocation,toDeviceLocation,interstationTime
150995474,150995473,86223
150995473,150995472,86271
150995472,150995471,86278
150995471,150995470,86178
150995470,150995469,86293
150995469,150995468,86267
150995468,150995467,86223
150995467,150995466,86249
150995466,150995465,807
150995465,150995464,86247
150995464,150995463,86273
150995463,150995462,86284
150995462,150995461,86283
150995461,150995460,86234
150995460,150995459,86233
150995459,150995458,86272
150995474,150995473,179
150995473,150995472,148
150995472,150995471,104
150995471,150995470,219
150995470,150995469,128
150995469,150995468,118
150995468,150995467,168
150995467,150995466,85642
150995466,150995465,346
150995465,150995464,168
150995464,150995463,125
150995463,150995462,112
150995462,150995461,115
150995461,150995460,145
150995460,150995459,187
150995459,150995458,115
