fromDeviceLocation,toDeviceLocation,interstationTime
150999119,150999117,186
150999117,150999115,172
150999115,150999113,163
150999113,150999111,144
150999111,150999109,152
150999109,150999107,170
150999107,150999105,184
150999105,150999103,186
150999103,150999101,157
150999101,150999099,168
150999099,150999097,195
150999097,150999095,122
150999095,150999093,132
150999093,150999091,138
150999091,150999089,203
150999089,150999087,182
150999087,150999085,163
150999085,150999083,191
150999083,150999081,177
150999081,150999079,218
150999079,150999077,226
150999077,150999075,155
150999075,150999073,202
150999073,150999071,198
150999071,150999069,163
150999069,150999067,190
150999067,150999065,204
150999065,150999063,201
150999061,150999063,226
150999063,150999065,200
150999065,150999067,201
150999067,150999069,185
150999069,150999071,159
150999071,150999073,196
150999073,150999075,199
150999075,150999077,169
150999077,150999079,215
150999079,150999081,218
150999081,150999083,182
150999083,150999085,196
150999085,150999087,167
150999087,150999089,171
150999089,150999091,211
150999091,150999093,146
150999093,150999095,139
150999095,150999097,110
150999097,150999099,193
150999099,150999101,171
150999101,150999103,160
150999103,150999105,185
150999105,150999107,184
150999107,150999109,172
150999109,150999111,161
150999111,150999113,143
150999113,150999115,160
150999115,150999117,172
