fromDeviceLocation,toDeviceLocation,interstationTime
150996559,150996557,84119
150996557,150996555,142
150996555,150996553,140
150996553,150996551,119
150996551,150996549,147
150996545,150996543,202
150996543,150996541,85605
150996541,150996539,156
150996539,150996537,160
150996537,150996535,135
150996535,150996533,249
150996533,150996531,143
150996531,150996529,167
150996529,150996527,159
150996527,150996525,139
150996525,150996523,155
150996523,150996521,163
150996521,150996519,208
150996519,150996517,149
150996517,150996515,135
150996515,150996513,162
150996513,150996511,131
150996511,150996509,110
150996509,150996507,119
150996507,150996505,150
150996505,150996503,139
150996503,150996501,82950
150996501,150996499,190
150996499,150996497,180
150996497,150996495,164
150996495,150996493,170
150996493,150996491,120
150996489,150996491,160
150996491,150996493,110
150996493,150996495,171
150996495,150996497,165
150996497,150996499,177
150996499,150996501,185
150996501,150996503,161
150996503,150996505,151
150996505,150996507,126
150996507,150996509,123
150996509,150996511,119
150996511,150996513,114
150996513,150996515,153
150996515,150996517,158
150996517,150996519,133
150996519,150996521,205
150996521,150996523,151
150996523,150996525,167
150996525,150996527,117
150996527,150996529,163
150996529,150996531,177
150996531,150996533,137
150996533,150996535,254
150996535,150996537,130
150996537,150996539,153
150996539,150996541,83512
150996541,150996543,181
150996543,150996545,193
150996545,150996547,10161
150996547,150996549,76509
150996549,150996551,142
150996551,150996553,114
150996553,150996555,133
150996555,150996557,85379
