fromDeviceLocation,toDeviceLocation,interstationTime
151015215,151015213,204
151015213,151015211,209
151015211,151015209,294
151015209,151015207,175
151015207,151015205,247
151015205,151015203,168
151015203,151015201,225
151015201,151015199,320
151015199,151015197,165
151015197,151015195,82833
151015195,151015193,400
151015193,151015191,270
151015189,151015191,239
151015191,151015193,310
151015193,151015195,362
151015195,151015197,197
151015197,151015199,185
151015199,151015201,340
151015201,151015203,245
151015203,151015205,188
151015205,151015207,267
151015207,151015209,195
151015209,151015211,341
151015211,151015213,207
