fromDeviceLocation,toDeviceLocation,interstationTime
151019307,151019305,86245
151019305,151019303,156
151019303,151019301,147
151019301,151019299,159
151019299,151019297,143
151019297,151019295,167
151019295,151019293,154
151019293,151019291,191
151019291,151019289,287
151019289,151019287,385
151019287,151019285,155
151019285,151019283,145
151019283,151019281,146
151019281,151019279,142
151019277,151019279,120
151019279,151019281,151
151019281,151019283,148
151019283,151019285,148
151019285,151019287,160
151019287,151019289,376
151019289,151019291,292
151019291,151019293,196
151019293,151019295,154
151019295,151019297,170
151019297,151019299,151
151019299,151019301,160
151019301,151019303,139
151019303,151019305,145
