fromDeviceLocation,toDeviceLocation,interstationTime
151018007,151018009,124
151018009,151018011,150
151018011,151018013,117
151018013,151018015,153
151018015,151018017,138
151018017,151018019,123
151018019,151018021,120
151018021,151018023,126
151018023,151018025,185
151018025,151018027,86279
151018031,151018033,134
151018033,151018035,112
151018035,151018037,165
151018037,151018039,256
151018039,151018041,128
151018041,151018043,202
151018043,151018045,138
151018045,151018047,82112
151018047,151018049,134
151018049,151018051,86264
151018007,151018009,86280
151018009,151018011,86229
151018011,151018013,86284
151018013,151018015,574
151018015,151018017,86269
151018017,151018019,86268
151018019,151018021,86282
151018021,151018023,86258
151018023,151018025,86211
151018025,151018027,86067
151018031,151018033,86279
151018033,151018035,86284
151018035,151018037,86229
151018037,151018039,86202
151018039,151018041,86266
151018041,151018043,86214
151018043,151018045,86282
151018045,151018047,86246
151018047,151018049,86262
151018049,151018051,86272
