fromDeviceLocation,toDeviceLocation,interstationTime
150995225,150995224,190
150995224,150995223,173
150995223,150995222,155
150995222,150995221,120
150995221,150995220,150
150995220,150995219,145
150995219,150995218,120
150995218,150995217,120
150995217,150995216,117
150995216,150995215,131
150995215,150995214,155
150995214,150995213,95
150995213,150995212,147
150995212,150995211,130
150995211,150995210,135
150995210,150995209,145
150995209,150995208,165
150995206,150995207,165
150995207,150995208,170
150995208,150995209,165
150995209,150995210,140
150995210,150995211,135
150995211,150995212,135
150995212,150995213,150
150995213,150995214,85950
150995214,150995215,215
150995215,150995216,140
150995216,150995217,116
150995217,150995218,117
150995218,150995219,115
150995219,150995220,145
150995220,150995221,155
150995221,150995222,115
150995222,150995223,155
150995223,150995224,178
150995224,150995225,185
