fromDeviceLocation,toDeviceLocation,interstationTime
151018793,151018791,166
151018791,151018789,211
151018789,151018787,180
151018787,151018785,118
151018785,151018783,125
151018783,151018781,130
151018781,151018779,130
151018779,151018777,144
151018777,151018775,156
151018775,151018773,335
151018773,151018775,335
151018775,151018777,153
151018777,151018779,144
151018779,151018781,121
151018781,151018783,126
151018783,151018785,128
151018785,151018787,120
151018787,151018789,187
151018789,151018791,216
