fromDeviceLocation,toDeviceLocation,interstationTime
151019792,151019791,180
151019791,151019789,190
151019789,151019788,110
151019788,151019787,130
151019787,151019786,140
151019786,151019785,120
151019785,151019784,150
151019784,151019783,170
151019783,151019782,180
151019782,151019781,170
151019781,151019780,780
151019780,151019779,185
151019779,151019780,170
151019780,151019781,170
151019781,151019782,170
151019782,151019783,180
151019783,151019784,170
151019784,151019785,150
151019785,151019786,120
151019786,151019787,140
151019787,151019788,130
151019788,151019789,82380
151019789,151019791,189
