fromDeviceLocation,toDeviceLocation,interstationTime
150997505,150997507,116
150997507,150997509,108
150997509,150997511,110
150997511,150997513,134
150997513,150997515,115
150997515,150997517,128
150997517,150997519,109
150997519,150997521,116
150997521,150997523,114
150997523,150997525,112
150997525,150997527,185
150997527,150997529,141
150997529,150997531,173
150997531,150997533,157
150997533,150997535,121
150997535,150997537,108
150997537,150997539,121
150997539,150997541,102
150997541,150997543,110
150997543,150997545,165
150997545,150997547,168
150997505,150997507,5428
150997507,150997509,86291
150997509,150997511,86294
150997511,150997513,86244
150997513,150997515,86280
150997515,150997517,86273
150997517,150997519,86283
150997519,150997521,86247
150997521,150997523,86270
150997523,150997525,86264
150997525,150997527,86229
150997527,150997529,86284
150997529,150997531,86233
150997531,150997533,86250
150997533,150997535,86284
150997535,150997537,86287
150997537,150997539,86270
150997539,150997541,86295
150997541,150997543,86274
150997543,150997545,86239
150997545,150997547,86280
