isHalf,startDeviceLocation,destDeviceLocation,arriveTime
0,151018029,151018029,77624
0,151018029,151018029,77786
0,151018029,151018029,78055
0,151018029,151018029,78363
0,151018029,151018029,78509
0,151018029,151018029,78680
0,151018029,151018029,78833
0,151018029,151018029,79042
0,151018029,151018029,79184
0,151018029,151018029,79427
0,151018029,151018029,79550
0,151018029,151018029,79753
0,151018029,151018029,79913
0,151018029,151018029,80099
0,151018029,151018029,80264
0,151018029,151018029,80477
0,151018029,151018029,80725
0,151018029,151018029,80951
0,151018029,151018029,81196
0,151018029,151018029,81450
0,151018029,151018029,81662
0,151018029,151018029,81812
0,151018029,151018029,81930
0,151018029,151018029,82063
0,151018029,151018029,82176
0,151018029,151018029,82300
0,151018029,151018029,82410
0,151018029,151018029,82538
0,151018029,151018029,82641
0,151018029,151018029,82756
0,151018029,151018029,82883
0,151018029,151018029,83042
0,151018029,151018029,83147
0,151018029,151018029,83294
0,151018029,151018029,83396
0,151018029,151018029,83508
0,151018029,151018029,83609
0,151018029,151018029,83730
0,151018029,151018029,83843
0,151018029,151018029,83973
0,151018029,151018029,84091
0,151018029,151018029,84212
0,151018029,151018029,84337
0,151018029,151018029,84463
0,151018029,151018029,84566
0,151018029,151018029,84686
0,151018029,151018029,84800
0,151018029,151018029,84907
0,151018029,151018029,85033
0,151018029,151018029,85171
0,151018029,151018029,85277
0,151018029,151018029,85383
0,151018029,151018029,85511
0,151018029,151018029,85629
0,151018029,151018029,85762
0,151018029,151018029,85867
0,151018029,151018029,86005
0,151018029,151018029,86124
0,151018029,151018029,86235
0,151018029,151018029,86353
0,151018029,151018029,70
0,151018029,151018029,190
1,151018029,150997505,296
0,151018029,151018029,410
0,151018029,151018029,508
0,151018029,151018029,622
0,151018029,151018029,731
0,151018029,151018029,830
0,151018029,151018029,934
0,151018029,151018029,1038
0,151018029,151018029,1148
0,151018029,151018029,1262
0,151018029,151018029,1404
1,151018029,150997505,1520
0,151018029,151018029,1620
0,151018029,151018029,1731
0,151018029,151018029,1828
0,151018029,151018029,1927
0,151018029,151018029,2027
0,151018029,151018029,2139
0,151018029,151018029,2257
0,151018029,151018029,2367
0,151018029,151018029,2472
0,151018029,151018029,2605
1,151018029,150997505,2704
0,151018029,151018029,2814
0,151018029,151018029,3024
1,151018029,151018047,3126
0,151018029,151018029,3231
1,151018029,151018047,3330
0,151018029,151018029,3432
1,151018029,151018047,3548
0,151018029,151018029,3694
1,151018029,151018047,3801
0,151018029,151018029,3903
1,151018029,151018047,4045
0,151018029,151018029,4162
1,151018029,151018047,4259
0,151018029,151018029,4407
1,151018029,151018047,4513
0,151018029,151018029,4659
1,151018029,151018047,4763
0,151018029,151018029,4897
1,151018029,151018047,4996
0,151018029,151018029,5104
1,151018029,151018047,5224
0,151018029,151018029,5341
1,151018029,151018047,5460
0,151018029,151018029,5564
1,151018029,151018047,5733
0,151018029,151018029,5844
0,151018029,151018029,6068
1,151018029,151018047,6169
0,151018029,151018029,6440
1,151018029,151018047,6550
0,151018029,151018029,6788
1,151018029,151018047,6954
0,151018029,151018029,7181
1,151018029,151018047,7292
0,151018029,151018029,7525
1,151018029,151018047,7648
0,151018029,151018029,7890
1,151018029,151018047,8015
0,151018029,151018029,8269
1,151018029,151018047,8389
0,151018029,151018029,8602
1,151018029,151018047,8741
0,151018029,151018029,9004
0,151018029,151018029,9431
0,151018029,151018029,9750
0,151018029,151018029,10147
0,151018029,151018029,10490
0,151018029,151018029,10851
0,151018029,151018029,11218
0,151018029,151018029,11570
0,151018029,151018029,11962
0,151018029,151018029,12325
0,151018029,151018029,12700
0,151018029,151018029,13062
0,151018029,151018029,13465
0,151018029,151018029,13791
0,151018029,151018029,14124
0,151018029,151018029,14517
0,151018029,151018029,14892
0,151018029,151018029,15274
0,151018029,151018029,15638
0,151018029,151018029,16018
0,151018029,151018029,16398
0,151018029,151018029,16741
0,151018029,151018029,17131
0,151018029,151018029,17468
0,151018029,151018029,17833
0,151018029,151018029,18218
0,151018029,151018029,18589
0,151018029,151018029,18985
0,151018029,151018029,19335
0,151018029,151018029,19687
0,151018029,151018029,20100
0,151018029,151018029,20424
0,151018029,151018029,20766
0,151018029,151018029,21155
0,151018029,151018029,21508
0,151018029,151018029,21886
0,151018029,151018029,22269
0,151018029,151018029,22606
0,151018029,151018029,23004
0,151018029,151018029,23365
0,151018029,151018029,23724
0,151018029,151018029,24096
0,151018029,151018029,24513
0,151018029,151018029,24937
0,151018029,151018029,25198
0,151018029,151018029,25584
0,151018029,151018029,25942
0,151018029,151018029,26295
0,151018029,151018029,26687
0,151018029,151018029,27024
0,151018029,151018029,27443
0,151018029,151018029,27783
0,151018029,151018029,28152
0,151018029,151018029,28494
0,151018029,151018029,28743
0,151018029,151018029,29058
0,151018029,151018029,29289
0,151018029,151018029,29590
0,151018029,151018029,29846
0,151018029,151018029,30147
0,151018029,151018029,30363
0,151018029,151018029,30668
0,151018029,151018029,30935
0,151018029,151018029,31210
0,151018029,151018029,31459
0,151018029,151018029,31765
0,151018029,151018029,32038
0,151018029,151018029,32287
0,151018029,151018029,32450
0,151018029,151018029,32576
0,151018029,151018029,32732
0,151018029,151018029,32852
0,151018029,151018029,32990
0,151018029,151018029,33125
0,151018029,151018029,33261
0,151018029,151018029,33386
0,151018029,151018029,33539
0,151018029,151018029,33656
0,151018029,151018029,33834
0,151018029,151018029,33937
0,151018029,151018029,34095
0,151018029,151018029,34218
0,151018029,151018029,34331
0,151018029,151018029,34452
0,151018029,151018029,34599
0,151018029,151018029,34762
0,151018029,151018029,34890
0,151018029,151018029,35028
0,151018029,151018029,35163
0,151018029,151018029,35321
0,151018029,151018029,35435
0,151018029,151018029,35559
0,151018029,151018029,35686
0,151018029,151018029,35834
0,151018029,151018029,35971
0,151018029,151018029,36128
0,151018029,151018029,36240
0,151018029,151018029,36384
0,151018029,151018029,36513
0,151018029,151018029,36663
0,151018029,151018029,36784
0,151018029,151018029,36908
0,151018029,151018029,37050
0,151018029,151018029,37224
0,151018029,151018029,37345
0,151018029,151018029,37471
0,151018029,151018029,37583
1,151018029,151018047,37718
0,151018029,151018029,37865
1,151018029,151018047,37988
0,151018029,151018029,38151
1,151018029,151018047,38272
0,151018029,151018029,38437
1,151018029,151018047,38558
0,151018029,151018029,38671
1,151018029,151018047,38822
0,151018029,151018029,38929
1,151018029,151018047,39099
0,151018029,151018029,39234
1,151018029,151018047,39335
0,151018029,151018029,39504
1,151018029,151018047,39670
0,151018029,151018029,39781
1,151018029,151018047,39917
0,151018029,151018029,40050
1,151018029,151018047,40203
0,151018029,151018029,40329
1,151018029,151018047,40453
0,151018029,151018029,40602
1,151018029,151018047,40725
0,151018029,151018029,40858
1,151018029,151018047,41041
0,151018029,151018029,41143
1,151018029,151018047,41260
0,151018029,151018029,41391
0,151018029,151018029,41698
0,151018029,151018029,41939
0,151018029,151018029,42219
0,151018029,151018029,42514
0,151018029,151018029,42783
0,151018029,151018029,43061
0,151018029,151018029,43304
0,151018029,151018029,43544
0,151018029,151018029,43835
0,151018029,151018029,44121
0,151018029,151018029,44395
0,151018029,151018029,44679
0,151018029,151018029,44927
0,151018029,151018029,45200
0,151018029,151018029,45488
0,151018029,151018029,45784
0,151018029,151018029,46086
0,151018029,151018029,46396
1,151018029,151018047,46623
0,151018029,151018029,46860
1,151018029,151018047,47117
0,151018029,151018029,47375
0,151018029,151018029,47684
1,151018029,151018047,48030
0,151018029,151018029,48263
0,151018029,151018029,48599
1,151018029,151018047,48904
0,151018029,151018029,49152
0,151018029,151018029,49613
1,151018029,151018047,49805
1,151018029,151018047,50112
1,151018029,151018047,50362
1,151018029,151018047,50645
1,151018029,151018047,50960
1,151018029,151018047,51300
