stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,stop_access
n1788317646,930037,义和庄出口,义和庄出口,,39.7117636,116.3123114,,,2,r2684709,,,,,
n1788317647,930037,义和庄出口,义和庄出口,,39.7119146,116.3132357,,,2,r2684709,,,,,
n1788317645,930037,义和庄出口,义和庄出口,,39.7105847,116.3136092,,,2,r2684709,,,,,
n1788317644,930037,义和庄出口,义和庄出口,,39.7103932,116.312819,,,2,r2684709,,,,,
n2099427623,930035,黄村火车站(上行),黄村火车站,,39.7215003,116.3266885,,,0,r2684705,,,,,
r2684705,930035,黄村火车站,黄村火车站,,39.7215049,116.3266541,,,1,,,,,,
n1788324402,930035,黄村火车站出口,黄村火车站出口,,39.7223753,116.326892,,,2,r2684705,,,,,
n1788324401,930035,黄村火车站出口,黄村火车站出口,,39.7221961,116.3262207,,,2,r2684705,,,,,
n1081998188,930035,黄村火车站D出口,黄村火车站D出口,,39.7208398,116.3262312,,,2,r2684705,,,,,
n1788324400,930035,黄村火车站出口,黄村火车站出口,,39.7208184,116.3271702,,,2,r2684705,,,,,
n2099427624,930033,黄村西大街(上行),黄村西大街,,39.7304217,116.3265479,,,0,r2684706,,,,,
r2684706,930033,黄村西大街,黄村西大街,,39.730422,116.3265186,,,1,,,,,,
n1788337404,930033,黄村西大街出口,黄村西大街出口,,39.730676,116.3257527,,,2,r2684706,,,,,
n1788337407,930033,黄村西大街出口,黄村西大街出口,,39.730975,116.3269294,,,2,r2684706,,,,,
n1788337402,930033,黄村西大街出口,黄村西大街出口,,39.7302518,116.3272971,,,2,r2684706,,,,,
n1788337399,930033,黄村西大街出口,黄村西大街出口,,39.729767,116.326152,,,2,r2684706,,,,,
n2099427625,930031,清源路(上行),清源路,,39.741756,116.3263684,,,0,r2684707,,,,,
r2684707,930031,清源路,清源路,,39.7417561,116.3263162,,,1,,,,,,
n1788406174,930031,清源路出口,清源路出口,,39.741953,116.3259479,,,2,r2684707,,,,,
n1788406181,930031,清源路出口,清源路出口,,39.7420443,116.3265838,,,2,r2684707,,,,,
n1788406118,930031,清源路出口,清源路出口,,39.7406777,116.3267087,,,2,r2684707,,,,,
n1675448966,930029,枣园(上行),枣园,,39.7518048,116.3261527,,,0,r2083789,,,,,
r2083789,930029,枣园,枣园,,39.7518055,116.3260337,,,1,,,,,,
n5441990946,930029,枣园B出口,枣园B出口,,39.752735,116.326568,,,2,r2083789,,,,,
n5441990947,930029,枣园C出口,枣园C出口,,39.7516541,116.3265746,,,2,r2083789,,,,,
n5441990948,930029,枣园D出口,枣园D出口,,39.7518091,116.3252071,,,2,r2083789,,,,,
n5441990949,930029,枣园A出口,枣园A出口,,39.7522519,116.3251363,,,2,r2083789,,,,,
n1675448965,930027,高米店南(上行),高米店南,,39.7622938,116.3257839,,,0,r2083791,,,,,
r2083791,930027,高米店南,高米店南,,39.7622885,116.325694,,,1,,,,,,
n2494634843,930027,高米店南出口,高米店南出口,,39.7627149,116.3248756,,,2,r2083791,,,,,
n5444199589,930027,高米店南出口,高米店南出口,,39.7611617,116.3247644,,,2,r2083791,,,,,
n5474464819,930027,高米店南出口,高米店南出口,,39.7624397,116.3265426,,,2,r2083791,,,,,
n10842743297,930027,高米店南出口,高米店南出口,,39.7628614,116.3260422,,,2,r2083791,,,,,
n1675448964,930025,高米店北(上行),高米店北,,39.7730349,116.3245724,,,0,r2083790,,,,,
r2083790,930025,高米店北,高米店北,,39.7730301,116.3244805,,,1,,,,,,
n1675441058,930023,西红门(上行),西红门,,39.7883955,116.3227016,,,0,r2083784,,,,,
r2083784,930023,西红门,西红门,,39.7883939,116.322677,,,1,,,,,,
n1675420758,190039,新宫(上行),新宫,,39.811171,116.3595405,,,0,r2083778,,,,,
r2083778,190039,新宫,新宫,,39.8110444,116.359749,,,1,,,,,,
n1081998172,190039,新宫A出口,新宫A出口,,39.8114209,116.3589402,,,2,r2083778,,,,,
n1081998168,190039,新宫B出口,新宫B出口,,39.8115092,116.359845,,,2,r2083778,,,,,
n9144723560,190039,新宫C出口,新宫C出口,,39.8103253,116.3604083,,,2,r2083778,,,,,
n1674674667,040067,公益西桥(上行),公益西桥,,39.8352645,116.3646955,,,0,r2082882,,,,,
r2082882,040067,公益西桥,公益西桥,,39.8352632,116.3646715,,,1,,,,,,
n1674674639,040067,公益西桥出口,公益西桥出口,,39.8340246,116.3649673,,,2,r2082882,,,,,
n1674674644,040067,公益西桥出口,公益西桥出口,,39.8346146,116.3649715,,,2,r2082882,,,,,
n1674674645,040067,公益西桥出口,公益西桥出口,,39.8346582,116.3643213,,,2,r2082882,,,,,
n1674674656,040067,公益西桥出口,公益西桥出口,,39.8362887,116.3643697,,,2,r2082882,,,,,
n1674674657,040067,公益西桥出口,公益西桥出口,,39.8364308,116.3650187,,,2,r2082882,,,,,
n1674675754,040067,公益西桥出口,公益西桥出口,,39.8336279,116.3652236,,,2,r2082882,,,,,
n1674675752,040067,公益西桥出口,公益西桥出口,,39.8332178,116.3642778,,,2,r2082882,,,,,
n1674674670,900039,角门西(上行),角门西,,39.8444012,116.3650839,,,0,r2082883,,,,,
r2082883,900039,角门西,角门西,,39.8444824,116.3647807,,,1,,,,,,
n3337810729,900039,角门西C出口,角门西C出口,,39.8435949,116.365252,,,2,r2082883,,,,,
n1674661898,040063,马家堡(上行),马家堡,,39.851633,116.3653231,,,0,r2082884,,,,,
r2082884,040063,马家堡,马家堡,,39.8516352,116.365207,,,1,,,,,,
n1673553148,140045,北京南站(上行),北京南站,,39.8635282,116.3728993,,,0,r2081493,,,,,
r2081493,140045,北京南站,北京南站,,39.8635548,116.3727527,,,1,,,,,,
n1673394714,040059,陶然亭(上行),陶然亭,,39.8774486,116.3683076,,,0,r2081312,,,,,
