area_id,stop_id
110107,n339091847
110107,n339091847
110107,n339091847
110107,n339091847
110107,n339091847
110107,n339091847
110107,n339090514
110107,n339090514
110107,n339090514
110107,n339090514
110107,n339090514
110107,n339090514
110107,n339092170
110107,n339092170
110107,n339092170
110107,n339092170
110107,n339092170
110107,n339092170
110107,n339092170
110107,n339092170
110107,n339092170
110107,n339092170
110108,n1296155055
110108,n1296155055
110108,n1296155055
110108,n1296155055
110108,n1296155055
110108,n1296155055
110108,n1296155055
110108,n1296155055
110108,n1296155055
110108,n1296155055
110108,n339086745
110108,n339086745
110108,n339086745
110108,n339086745
110108,n339086745
110108,n339086745
110108,n339086745
110108,n339086745
110108,n339086745
110108,n339086745
110108,n339086386
110108,n339086386
110108,n339086386
110108,n339086329
110108,n339086329
110108,n339086329
110108,n339086329
110108,n339086329
110108,n339086329
110108,n339086329
110102,n339086364
110102,n339086364
110102,n339086364
110102,n339086364
110102,n339086364
110102,n339086364
110102,n339086364
110102,n339086364
110102,n339086364
110102,n339086364
110102,n339086220
110102,n339086220
110102,n339086220
110102,n339086220
110102,n339086220
110102,n339086220
110102,n339086220
110102,n339086167
110102,n339086167
110102,n533645705
110102,n533645705
110102,n533645705
110102,n533645705
110102,n533645705
110102,n533645705
110102,n533645705
110102,n533645705
110102,n533645705
110102,n339084600
110102,n339084600
110102,n339084600
110102,n339084600
110102,n339084600
110102,n339084600
110101,n339084700
110101,n339084700
110101,n339084700
110101,n339084700
110101,n339084700
110101,n339084700
110101,n339084979
110101,n339084979
110101,n339084979
110101,n339084979
110101,n339084979
110101,n339084979
110101,n339084979
110101,n339084979
110101,n339085117
110101,n339085117
110101,n339085117
110101,n339085117
110101,n339085117
110101,n339085117
110101,n339085117
110101,n339085117
110105,n339085190
110105,n339085190
110105,n339085190
110105,n339085190
110105,n339085190
110105,n339085194
110105,n339085194
110105,n339085194
110105,n339085194
110105,n339085194
110105,n339085194
110105,n339085194
110105,n339085194
110105,n339085195
110105,n339085195
110105,n339085195
110105,n339085195
110105,n339085195
110105,n339085195
110105,n339085195
110105,n339085195
110105,n339085195
110105,n339085195
110105,n339085195
110105,n339085203
110105,n339085203
110105,n339085203
110105,n339085203
110105,n339085203
110105,n339085203
110105,n339085203
110105,n339085203
110105,n339085203
110105,n339085203
110105,n339085253
110105,n339085253
110105,n339085253
110105,n339085253
110105,n339085253
110105,n339085253
110105,n323145029
110105,n323145029
110105,n323145029
110105,n323145029
110105,n323145029
110105,n323144883
110105,n323144883
110105,n323144883
110105,n323144883
110105,n323144883
110105,n323144883
110105,n323144876
110105,n323144876
110105,n323144869
110105,n323144869
110105,n323144869
110105,n323144869
110105,n339085362
110105,n339085362
110105,n339085362
110105,n339085362
110105,n339085362
110105,n339085362
110105,n339085362
110105,n339085362
110105,n321718678
110105,n321718678
110105,n321718678
110105,n321718678
110105,n321718678
110105,n321718678
110105,n321718678
110112,n323081594
110112,n323081594
110112,n322003736
110112,n322003736
110112,n1304785148
110112,n1304785148
110112,n1304785289
110112,n1304785289
110112,n1304785249
110112,n1304785249
110112,n339085524
110112,n339085524
110112,n7117305977
110112,n7117305977
110112,n7117305977
110112,n7117305977
110112,n7117305977
110112,n7117305977
110112,n10216220692
110112,n10216220692
110112,n10216220693
110112,n7168707857
110112,n1304785077
110112,n1304785260
110112,n1304785044
110112,n1304785245
110112,n1304785214
110112,n1304785099
110105,n1304748253
110105,n1304730582
110105,n1304706912
110105,n1304706935
110105,n1303519845
110105,n1303502781
110105,n1303500865
110105,n1303500901
110105,n1303500859
110105,n1303500793
110105,n1302996714
110101,n1302996707
110101,n1302986802
110101,n1301959299
110102,n1301959211
110102,n1301959286
110102,n1298408190
110102,n1298058566
110102,n1298058595
110108,n1298058568
110108,n1298058615
110108,n1298050540
110108,n1298050590
110107,n1296155057
110107,n1296102327
110107,n1296102402
110102,n339087731
110102,n339087731
110102,n339087731
110102,n339087731
110102,n339087731
110102,n339087731
110102,n339087731
110102,n339090184
110102,n339090184
110102,n339090184
110102,n339090184
110102,n339090184
110102,n339090107
110102,n339090107
110102,n339090107
110102,n339090107
110102,n339090107
110102,n339090107
110102,n339090100
110102,n339090100
110102,n339090100
110102,n339090100
110102,n339090100
110102,n339090100
110102,n339089932
110102,n339089932
110102,n339089932
110102,n339089932
110102,n339089932
110102,n339089932
110102,n339089932
110102,n339089932
110102,n339089932
110102,n339089932
110102,n1093985706
110102,n1093985706
110102,n1093985706
110102,n1093985706
110102,n1093985706
110102,n1093985706
110102,n1093985706
110102,n1093985706
110102,n1093985706
110102,n339089806
110102,n339089806
110102,n339089806
110102,n339089806
110102,n339089806
110102,n339089806
110102,n339089806
110102,n339089806
110102,n339089806
110101,n701230220
110101,n701230220
110101,n701230220
110101,n701230220
110101,n701230220
110101,n701230220
110101,n701230220
110101,n701230220
110101,n701230220
110101,n701230220
110101,n339088299
110101,n339088299
110101,n339088299
110101,n339088299
110101,n339088299
110101,n339088299
110101,n339088299
110101,n339088299
110101,n339088299
110101,n339088299
110101,n339088299
110101,n339089407
110101,n339089407
110101,n339089407
110101,n339089407
110101,n339089407
110101,n339089407
110105,n339089391
110105,n339089391
110105,n339089289
110105,n339089289
110105,n339089289
110105,n339089289
110101,n339089288
110101,n339089288
110101,n339089288
110101,n339089288
110101,n339089288
110101,n339089288
110101,n294123182
110101,n294123182
110101,n294123182
110101,n294123182
110101,n294123182
110101,n294123182
110101,n294123182
110101,n294123182
110101,n294123182
110101,n294123182
110101,n294123182
110101,n294122490
110101,n294122490
110101,n294122490
110101,n294122490
110101,n294122490
110101,n339088654
110101,n339088654
110101,n339088654
110101,n339088654
110102,n339088788
110102,n339088788
110102,n339088788
110102,n339088788
110102,n339088788
110102,n339088788
110102,n339088788
110102,n290598399
110102,n290598399
110102,n290598399
110102,n290598399
110102,n290598399
110102,n290598399
110102,n290598399
110102,n290598399
110102,n1349005765
110102,n1349005609
110102,n1349201959
110101,n1349202053
110101,n1349202038
110101,n1349202004
110101,n1349201997
110105,n1349202021
110105,n1302996716
110101,n1300399132
110101,n1300399164
110101,n1300399139
110102,n1300399200
110102,n1298408217
110102,n1298408197
110102,n1298408238
110102,n1349005559
110102,n1349005633
110101,n12416926201
110101,n12416926201
110101,n12416926201
110105,n12416822500
110105,n12416822500
110105,n12416822500
110105,n12416822500
110105,n12422262444
110105,n12422262444
110105,n12422262444
110105,n12422262444
110105,n12422262444
110105,n12422262444
110105,n12422262444
110105,n12422262444
110105,n12422262444
110105,n12422262444
110105,n12433842055
110105,n12433842055
110105,n12433842055
110105,n12433842055
110105,n12433842055
110105,n12433842055
110105,n12433842056
110105,n12433842056
110105,n12433842056
110105,n12433842056
110105,n12433842056
110105,n12433842056
110105,n12433842056
110105,n12433842058
110105,n12433842058
110105,n12433842061
110105,n12433842061
110105,n12433842061
110105,n12433842061
110105,n12433842061
110105,n12433842062
110105,n12433842062
110105,n12433842064
110105,n12433842064
110105,n8002238346
110105,n8002238346
110105,n12433842066
110105,n12433842065
110105,n12433842063
110105,n12433842060
110105,n12433842059
110105,n12433842057
110105,n12433842054
110105,n12422262445
110105,n12422262446
110101,n12422262443
110115,n2099427626
110115,n2099427626
110115,n2099427626
110115,n2099427626
110115,n2099427626
110115,n2099427626
110115,n2099427622
110115,n2099427622
110115,n2099427627
110115,n2099427627
110115,n2099427627
110115,n2099427627
110115,n2099427627
110115,n2099427627
110115,n2099427623
110115,n2099427623
110115,n2099427623
110115,n2099427623
110115,n2099427623
110115,n2099427623
110115,n2099427624
110115,n2099427624
110115,n2099427624
110115,n2099427624
110115,n2099427624
110115,n2099427624
110115,n2099427625
110115,n2099427625
110115,n2099427625
110115,n2099427625
110115,n2099427625
110115,n1675448966
110115,n1675448966
110115,n1675448966
110115,n1675448966
110115,n1675448966
110115,n1675448966
110115,n1675448965
110115,n1675448965
110115,n1675448965
110115,n1675448965
110115,n1675448965
110115,n1675448965
110115,n1675448964
110115,n1675448964
110115,n1675441058
110115,n1675441058
110106,n1675420758
110106,n1675420758
110106,n1675420758
110106,n1675420758
110106,n1675420758
110106,n1674674667
110106,n1674674667
110106,n1674674667
110106,n1674674667
110106,n1674674667
110106,n1674674667
110106,n1674674667
110106,n1674674667
110106,n1674674667
110106,n1674674670
110106,n1674674670
110106,n1674674670
110106,n1674661898
110106,n1674661898
110106,n1673553148
110106,n1673553148
110102,n1673394714
110102,n1673394714
110102,n1673394714
110102,n1673394714
110102,n1673394714
110102,n1673394703
110102,n1673394703
110102,n1673394703
110102,n1673394703
110102,n1673394703
110102,n1673386299
110102,n1673386299
110102,n1673386299
110102,n1673386344
110102,n1673386344
110102,n1673386344
110102,n1660324132
110102,n1660324132
110102,n1660324132
110102,n1660324132
110102,n1660324132
110102,n1660324132
110102,n1660324132
110102,n1660324139
110102,n1660324139
110102,n1660324139
110102,n1660324139
110102,n1660324139
110102,n1660324139
110102,n1660324135
110102,n1660324135
110102,n1660324135
110102,n1660324135
110102,n1660324135
110102,n1660324135
110102,n1660324135
110102,n1660324135
110102,n1660324216
110102,n1660324216
110102,n1660324216
110102,n1660324216
110102,n1660324216
110102,n1660324216
110102,n1364282601
110102,n1364282601
110102,n1364282596
110102,n1364282596
110102,n1364282596
110102,n1364282596
110102,n1364282596
110102,n1364282596
110102,n1364282596
110108,n1364282599
110108,n1364282599
110108,n1364282599
110108,n1364282599
110108,n1364282599
110108,n1364282599
110108,n1364282703
110108,n1364282703
110108,n1364282703
110108,n1364282703
110108,n1364282703
110108,n1364282703
110108,n1364282600
110108,n1364282600
110108,n1364282600
110108,n1364282600
110108,n1364282600
110108,n1364282600
110108,n1364282600
110108,n6621483714
110108,n6621483714
110108,n6621483714
110108,n6621483714
110108,n6621483714
110108,n6621483714
110108,n6621483714
110108,n1362276541
110108,n1362276541
110108,n1362276541
110108,n1362276541
110108,n1362276541
110108,n1362276541
110108,n1362276541
110108,n1362276343
110108,n1362276343
110108,n1362276343
110108,n1362276343
110108,n1362276343
110108,n1362276343
110108,n1362259024
110108,n1362259024
110108,n1362259024
110108,n1362259024
110108,n1362259024
110108,n1362259031
110108,n1362259031
110108,n1362259031
110108,n1362259031
110108,n1362259031
110108,n1362259031
,n1362259110
,n1362259110
,n1362259110
,n1362259110
,n1362259110
110108,n528916114
110108,n528916114
110108,n528916114
110108,n528916114
110108,n1362259113
,n528916061
110108,n528916026
110108,n528913962
110108,n528922035
110108,n528922127
110108,n6621483712
110108,n528925729
110108,n528926456
110108,n528927340
110102,n528928174
110102,n1085309402
110102,n528928528
110102,n528928764
110102,n528928995
110102,n528929127
110102,n339085844
110102,n339089807
110102,n528929965
110102,n528930289
110106,n528931158
110106,n528931992
110106,n528934416
110106,n528934756
110106,n1675420751
110115,n1080681438
110115,n1080681454
110115,n1080681283
110115,n1080681389
110115,n1080681293
110115,n1080681255
110115,n1080681295
110115,n1093985711
110115,n1080681248
110115,n1093985674
110106,n340260427
110106,n340260427
110106,n340260427
110106,n340260427
110106,n340260427
110106,n340260427
110106,n340260427
110106,n340260308
110106,n340260308
110106,n340260308
110106,n340260308
110106,n340260308
110106,n340260308
110106,n340260160
110106,n340260160
110106,n340260160
110106,n340260160
110106,n340260160
110106,n340260160
110101,n340260096
110101,n340260096
110101,n340260096
110101,n340260096
110101,n340260096
110101,n340260038
110101,n340260038
110101,n340260038
110101,n340260038
110101,n340260004
110101,n340260004
110101,n340260004
110101,n340258817
110101,n340258817
110101,n340258817
110101,n340258817
110101,n339094381
110101,n339094381
110101,n339094381
110101,n339094381
110101,n340257439
110101,n340257439
110101,n340257439
110101,n340258011
110101,n340258011
110101,n340258011
