osm_stop_position_id,osm_stop_area_group_id,osm_stop_area_id,osm_station_id,osm_entrance_ids,station_id,device_location,fare_location,name_cn,stop_code,amap_id,amap_name,adcode
n4148548620,osm_stop_area_group_id,r6170652,n5365586568,,91,150996531,150996531,十里堡,060051,amap_id,amap_name,adcode
n4148548618,osm_stop_area_group_id,r6170651,n5444431618,"n5257010481,n5257010482,n11559318415",92,150996533,150996533,青年路,060053,amap_id,amap_name,adcode
n3416840247,osm_stop_area_group_id,r4726852,n5441499243,"n11542917162,n11542917163,n11542917161",93,150996535,150996535,褡裢坡,060055,amap_id,amap_name,adcode
n3384472063,osm_stop_area_group_id,r4726853,n7896877677,"n11542805942,n11542805943,n11542805944,n11542805945",94,150996537,150996537,黄渠,060057,amap_id,amap_name,adcode
n4148548616,osm_stop_area_group_id,r6170650,w334620989,"n11816785332,n12399943037",95,150996539,150996539,常营,060059,amap_id,amap_name,adcode
n3384472073,osm_stop_area_group_id,r6172388,n8073325259,"n9209966180,n9209966181,n9209966182,n9209966183",96,150996541,150996541,草房,060061,amap_id,amap_name,adcode
n3416840273,osm_stop_area_group_id,r6172393,n8073325258,"n9174345649,n9174345654,n9174345659",97,150996543,150996543,物资学院路,060063,amap_id,amap_name,adcode
n4150606943,osm_stop_area_group_id,r6172392,n8073325257,"n9209966177,n9209966178,n9209966179",98,150996545,150996545,通州北关,060065,amap_id,amap_name,adcode
n4150606934,osm_stop_area_group_id,r6172387,n5430487507,"n4417644117,n9209966164",100,150996549,150996549,北运河西,060069,amap_id,amap_name,adcode
n6172173752,osm_stop_area_group_id,r9925335,n6713165204,"n9209966170,n9209966172,n9209966171",101,150996551,150996551,北运河东,060071,amap_id,amap_name,adcode
n4150606939,osm_stop_area_group_id,r6172390,n5441488835,"n6068627742,n6068627743,n6068627745,n6068627744,n9209966169",102,150996553,150996553,郝家府,060073,amap_id,amap_name,adcode
n4150606937,osm_stop_area_group_id,r6172389,n5428312459,"n6068627732,n6068627734,n6068627733,n9209966173",103,150996555,150996555,东夏园,060075,amap_id,amap_name,adcode
n4150606941,osm_stop_area_group_id,r6172391,n5441513452,"n9209966174,n9209966175",104,150996557,150996557,潞城,060077,amap_id,amap_name,adcode
n12229030036,osm_stop_area_group_id,r20022685,n13367702388,,472,150996559,150996559,潞阳,060079,amap_id,amap_name,adcode
n13417552675,osm_stop_area_group_id,r20022685,n13367702388,,472,150996559,150996559,潞阳,060079,amap_id,amap_name,adcode
n4150606942,osm_stop_area_group_id,r6172391,n5441513452,"n9209966174,n9209966175",104,150996557,150996557,潞城,060077,amap_id,amap_name,adcode
n4150606938,osm_stop_area_group_id,r6172389,n5428312459,"n6068627732,n6068627734,n6068627733,n9209966173",103,150996555,150996555,东夏园,060075,amap_id,amap_name,adcode
n4150606940,osm_stop_area_group_id,r6172390,n5441488835,"n6068627742,n6068627743,n6068627745,n6068627744,n9209966169",102,150996553,150996553,郝家府,060073,amap_id,amap_name,adcode
n6172173751,osm_stop_area_group_id,r9925335,n6713165204,"n9209966170,n9209966172,n9209966171",101,150996551,150996551,北运河东,060071,amap_id,amap_name,adcode
n4150606935,osm_stop_area_group_id,r6172387,n5430487507,"n4417644117,n9209966164",100,150996549,150996549,北运河西,060069,amap_id,amap_name,adcode
n4150606944,osm_stop_area_group_id,r6172392,n8073325257,"n9209966177,n9209966178,n9209966179",98,150996545,150996545,通州北关,060065,amap_id,amap_name,adcode
n4150606945,osm_stop_area_group_id,r6172393,n8073325258,"n9174345649,n9174345654,n9174345659",97,150996543,150996543,物资学院路,060063,amap_id,amap_name,adcode
n4150606936,osm_stop_area_group_id,r6172388,n8073325259,"n9209966180,n9209966181,n9209966182,n9209966183",96,150996541,150996541,草房,060061,amap_id,amap_name,adcode
