isHalf,startDeviceLocation,destDeviceLocation,arriveTime
0,150995751,150995733,76032
0,150995751,150995733,76610
0,150995751,150995733,77150
0,150995751,150995733,77630
0,150995751,150995733,78110
0,150995751,150995733,78590
0,150995751,150995733,79070
0,150995751,150995733,79550
0,150995751,150995733,80030
0,150995751,150995733,80510
0,150995751,150995733,80990
0,150995751,150995733,81470
0,150995751,150995733,81950
0,150995751,150995733,82430
0,150995751,150995733,82910
0,150995751,150995733,83390
0,150995751,150995733,83870
0,150995751,150995733,84230
0,150995751,150995733,84530
0,150995751,150995733,84850
0,150995751,150995733,85185
0,150995751,150995733,85430
0,150995751,150995733,85730
0,150995751,150995733,86030
0,150995751,150995733,86330
0,150995751,150995733,230
0,150995751,150995733,530
0,150995751,150995733,830
0,150995751,150995733,1130
0,150995751,150995733,1430
0,150995751,150995733,1730
0,150995751,150995733,2030
0,150995751,150995733,2330
0,150995751,150995733,2630
0,150995751,150995733,2930
0,150995751,150995733,3230
0,150995751,150995733,3530
0,150995751,150995733,3830
0,150995751,150995733,4130
0,150995751,150995733,4430
0,150995751,150995733,4730
0,150995751,150995733,5030
0,150995751,150995733,5330
0,150995751,150995733,5630
0,150995751,150995733,5930
0,150995751,150995733,6230
0,150995751,150995733,6530
0,150995751,150995733,6830
0,150995751,150995733,7130
0,150995751,150995733,7430
0,150995751,150995733,7730
0,150995751,150995733,8030
0,150995751,150995733,8330
0,150995751,150995733,8630
0,150995751,150995733,8930
0,150995751,150995733,9230
0,150995751,150995733,9530
0,150995751,150995733,9774
0,150995751,150995733,10194
0,150995751,150995733,10614
0,150995751,150995733,11034
0,150995751,150995733,11454
0,150995751,150995733,11874
0,150995751,150995733,12294
0,150995751,150995733,12714
0,150995751,150995733,13134
0,150995751,150995733,13554
0,150995751,150995733,13999
0,150995751,150995733,14394
0,150995751,150995733,14814
0,150995751,150995733,15234
0,150995751,150995733,15654
0,150995751,150995733,16074
0,150995751,150995733,16494
0,150995751,150995733,16914
0,150995751,150995733,17334
0,150995751,150995733,17779
0,150995751,150995733,18174
0,150995751,150995733,18594
0,150995751,150995733,19014
0,150995751,150995733,19434
0,150995751,150995733,19854
0,150995751,150995733,20274
0,150995751,150995733,20694
0,150995751,150995733,21114
0,150995751,150995733,21559
0,150995751,150995733,21954
0,150995751,150995733,22374
0,150995751,150995733,22794
0,150995751,150995733,23214
0,150995751,150995733,23634
0,150995751,150995733,24054
0,150995751,150995733,24474
0,150995751,150995733,24894
0,150995751,150995733,25339
0,150995751,150995733,25734
0,150995751,150995733,26154
0,150995751,150995733,26574
0,150995751,150995733,26994
0,150995751,150995733,27414
0,150995751,150995733,27834
0,150995751,150995733,28254
0,150995751,150995733,28674
0,150995751,150995733,29119
0,150995751,150995733,29514
0,150995751,150995733,29934
0,150995751,150995733,30294
0,150995751,150995733,30654
0,150995751,150995733,30954
0,150995751,150995733,31254
0,150995751,150995733,31584
0,150995751,150995733,31914
0,150995751,150995733,32154
0,150995751,150995733,32454
0,150995751,150995733,32779
0,150995751,150995733,33054
0,150995751,150995733,33354
0,150995751,150995733,33654
0,150995751,150995733,33954
0,150995751,150995733,34254
0,150995751,150995733,34554
0,150995751,150995733,34854
0,150995751,150995733,35154
0,150995751,150995733,35454
0,150995751,150995733,35754
0,150995751,150995733,36054
0,150995751,150995733,36354
0,150995751,150995733,36679
0,150995751,150995733,36954
0,150995751,150995733,37254
0,150995751,150995733,37554
0,150995751,150995733,37854
0,150995751,150995733,38154
0,150995751,150995733,38454
0,150995751,150995733,38754
0,150995751,150995733,39054
0,150995751,150995733,39354
0,150995751,150995733,39654
0,150995751,150995733,39954
0,150995751,150995733,40254
0,150995751,150995733,40579
0,150995751,150995733,40854
0,150995751,150995733,41214
0,150995751,150995733,41574
0,150995751,150995733,41938
0,150995751,150995733,42298
0,150995751,150995733,42718
0,150995751,150995733,43138
0,150995751,150995733,43558
0,150995751,150995733,43978
0,150995751,150995733,44423
0,150995751,150995733,44818
0,150995751,150995733,45238
0,150995751,150995733,45658
0,150995751,150995733,46078
0,150995751,150995733,46498
0,150995751,150995733,46918
0,150995751,150995733,47338
0,150995751,150995733,47758
0,150995751,150995733,48203
0,150995751,150995733,48598
0,150995751,150995733,49018
0,150995751,150995733,49438
0,150995751,150995733,49858
0,150995751,150995733,50278
0,150995751,150995733,50698
0,150995751,150995733,51118
0,150995751,150995733,51538
0,150995751,150995733,51983
0,150995751,150995733,52378
0,150995751,150995733,52768
0,150995751,150995733,53174
0,150995751,150995733,53532
