fromDeviceLocation,toDeviceLocation,interstationTime
150996815,150996813,174
150996813,150996811,128
150996811,150996809,129
150996809,150996807,127
150996807,150996805,174
150996805,150996803,214
150996803,150996801,191
150996801,150996799,160
150996799,150996797,85118
150996797,150996795,122
150996795,150996793,129
150996793,150996791,169
150996791,150996789,130
150996789,150996787,142
150996787,150996785,120
150996785,150996783,123
150996783,150996781,107
150996781,150996779,140
150996779,150996777,147
150996777,150996775,140
150996775,150996773,130
150996773,150996771,140
150996771,150996769,113
150996769,150996767,144
150996767,150996765,115
150996765,150996763,157
150996763,150996761,166
150996761,150996759,111
150996757,150996759,162
150996759,150996761,112
150996761,150996763,167
150996763,150996765,145
150996765,150996767,135
150996767,150996769,128
150996769,150996771,128
150996771,150996773,119
150996773,150996775,146
150996775,150996777,140
150996777,150996779,138
150996779,150996781,150
150996781,150996783,116
150996783,150996785,112
150996785,150996787,127
150996787,150996789,140
150996789,150996791,113
150996791,150996793,166
150996793,150996795,83761
150996795,150996797,359
150996797,150996799,155
150996799,150996801,161
150996801,150996803,193
150996803,150996805,214
150996805,150996807,174
150996807,150996809,123
150996809,150996811,126
150996811,150996813,148
