fromDeviceLocation,toDeviceLocation,interstationTime
150999337,150999335,144
150999335,150999333,216
150999333,150999331,215
150999331,150999329,144
150999329,150999327,205
150999327,150999325,307
150999325,150999323,170
150999323,150999321,173
150999321,150999319,336
150999317,150999319,167
150999319,150999321,329
150999321,150999323,179
150999323,150999325,173
150999325,150999327,305
150999327,150999329,208
150999329,150999331,146
150999331,150999333,223
150999333,150999335,206
150999335,150999337,144
150999357,150999355,182
150999355,150999353,156
150999353,150999351,182
150999351,150999349,331
150999349,150999347,203
150999347,150999345,196
150999345,150999343,191
150999343,150999339,355
150999339,150999343,371
150999343,150999345,185
150999345,150999347,166
150999347,150999349,202
150999349,150999351,334
150999351,150999353,183
150999353,150999355,148
