fromDeviceLocation,toDeviceLocation,interstationTime
150997293,150997291,154
150997291,150997289,104
150997289,150997287,116
150997287,150997285,148
150997285,150997283,132
150997283,150997281,172
150997281,150997279,160
150997279,150997277,253
150997277,150997275,198
150997275,150997273,194
150997273,150997271,161
150997269,150997271,139
150997271,150997273,192
150997273,150997275,168
150997275,150997277,212
150997277,150997279,258
150997279,150997281,138
150997281,150997283,188
150997283,150997285,147
150997285,150997287,144
150997287,150997289,118
150997289,150997291,102
