fromDeviceLocation,toDeviceLocation,interstationTime
150997505,150997507,121
150997507,150997509,109
150997509,150997511,128
150997511,150997513,116
150997513,150997515,140
150997515,150997517,130
150997517,150997519,111
150997519,150997521,118
150997521,150997523,143
150997523,150997525,129
150997525,150997527,169
150997527,150997529,144
150997529,150997531,160
150997531,150997533,158
150997533,150997535,117
150997535,150997537,106
150997537,150997539,121
150997539,150997541,120
150997541,150997543,105
150997543,150997545,175
150997545,150997547,117
150997505,150997507,86279
150997507,150997509,86274
150997509,150997511,86288
150997511,150997513,86264
150997513,150997515,86279
150997515,150997517,86269
150997517,150997519,86288
150997519,150997521,86250
150997521,150997523,86270
150997523,150997525,86267
150997525,150997527,86216
150997527,150997529,86284
150997529,150997531,86233
150997531,150997533,86256
150997533,150997535,86282
150997535,150997537,86292
150997537,150997539,86259
150997539,150997541,86299
150997541,150997543,86275
150997543,150997545,86242
150997545,150997547,86278
