fromDeviceLocation,toDeviceLocation,interstationTime
150998847,150998845,222
150998845,150998843,144
150998843,150998841,202
150998841,150998839,293
150998839,150998837,233
150998837,150998835,151
150998835,150998833,234
150998833,150998831,86271
150998831,150998829,84200
150998829,150998827,178
150998827,150998825,170
150998825,150998823,189
150998823,150998821,240
150998821,150998819,136
150998819,150998817,145
150998817,150998815,134
150998815,150998813,186
150998813,150998811,132
150998809,150998811,150
150998811,150998813,132
150998813,150998815,165
150998815,150998817,154
150998817,150998819,115
150998819,150998821,166
150998821,150998823,207
150998823,150998825,190
150998825,150998827,181
150998827,150998829,177
150998829,150998831,84763
150998831,150998833,277
150998833,150998835,214
150998835,150998837,156
150998837,150998839,215
150998839,150998841,305
150998841,150998843,202
150998843,150998845,145
