fromDeviceLocation,toDeviceLocation,interstationTime
150997065,150997063,163
150997063,150997061,176
150997061,150997059,161
150997059,150997057,145
150997057,150997055,157
150997055,150997053,196
150997053,150997051,119
150997051,150997049,129
150997049,150997047,116
150997047,150997045,109
150997045,150997043,185
150997043,150997041,128
150997041,150997039,154
150997039,150997037,203
150997037,150997035,134
150997035,150997033,84529
150997033,150997031,947
150997031,150997029,126
150997029,150997027,136
150997027,150997025,138
150997025,150997023,132
150997023,150997021,126
150997021,150997019,132
150997019,150997017,154
150997017,150997015,129
150997015,150997013,203
150997013,150997011,85983
150997011,150997009,131
150997009,150997007,153
150997007,150997005,173
150997005,150997003,83558
150997003,150997001,159
150997001,150996999,173
150996997,150996999,201
150996999,150997001,1376
150997001,150997003,83025
150997003,150997005,136
150997005,150997007,177
150997007,150997009,150
150997009,150997011,122
150997011,150997013,205
150997013,150997015,802
150997015,150997017,127
150997017,150997019,164
150997019,150997021,124
150997021,150997023,139
150997023,150997025,148
150997025,150997027,130
150997027,150997029,145
150997029,150997031,136
150997031,150997033,166
150997033,150997035,123
150997035,150997037,115
150997037,150997039,202
150997039,150997041,161
150997041,150997043,125
150997043,150997045,183
150997045,150997047,120
150997047,150997049,117
150997049,150997051,116
150997051,150997053,131
150997053,150997055,195
150997055,150997057,158
150997057,150997059,143
150997059,150997061,161
150997061,150997063,178
