fromDeviceLocation,toDeviceLocation,interstationTime
150998621,150998619,169
150998619,150998617,126
150998617,150998615,140
150998615,150998613,736
150998613,150998611,85937
150998611,150998607,186
150998607,150998605,172
150998605,150998603,189
150998603,150998601,142
150998601,150998599,140
150998599,150998595,193
150998595,150998593,179
150998593,150998591,125
150998591,150998589,136
150998589,150998585,233
150998585,150998583,163
150998583,150998581,157
150998581,150998579,134
150998579,150998577,148
150998573,150998563,756
150998563,150998565,86277
150998565,150998567,86288
150998567,150998569,86257
150998569,150998571,86220
150998571,150998561,700
150998561,150998559,127
150998559,150998557,167
150998557,150998555,185
150998555,150998553,134
150998553,150998551,293
150998549,150998551,154
150998551,150998553,317
150998553,150998555,137
150998555,150998557,189
150998557,150998559,172
150998559,150998561,133
150998561,150998571,711
150998571,150998569,86289
150998569,150998567,86252
150998567,150998565,86258
150998565,150998563,86262
150998563,150998573,701
150998577,150998579,139
150998579,150998581,137
150998581,150998583,158
150998583,150998585,170
150998585,150998589,234
150998589,150998591,133
150998591,150998593,121
150998593,150998595,189
150998595,150998599,195
150998599,150998601,136
150998601,150998603,141
150998603,150998605,201
150998605,150998607,165
150998607,150998611,194
150998611,150998613,136
150998613,150998615,122
150998615,150998617,162
150998617,150998619,135
