fromDeviceLocation,toDeviceLocation,interstationTime
151018007,151018009,124
151018009,151018011,152
151018011,151018013,117
151018013,151018015,161
151018015,151018017,85604
151018017,151018019,134
151018019,151018021,128
151018021,151018023,126
151018023,151018025,205
151018025,151018027,259
151018031,151018033,143
151018033,151018035,103
151018035,151018037,166
151018037,151018039,223
151018039,151018041,124
151018041,151018043,210
151018043,151018045,124
151018045,151018047,157
151018047,151018049,81203
151018049,151018051,112
151018007,151018009,86281
151018009,151018011,86231
151018011,151018013,632
151018013,151018015,86237
151018015,151018017,86265
151018017,151018019,86271
151018019,151018021,86281
151018021,151018023,86261
151018023,151018025,86210
151018025,151018027,86105
151018031,151018033,86261
151018033,151018035,86280
151018035,151018037,86234
151018037,151018039,86201
151018039,151018041,86266
151018041,151018043,86212
151018043,151018045,86263
151018045,151018047,86258
151018047,151018049,86268
151018049,151018051,86289
