fromDeviceLocation,toDeviceLocation,interstationTime
150996289,150996287,171
150996287,150996285,126
150996285,150996283,178
150996283,150996281,128
150996281,150996279,125
150996279,150996277,129
150996277,150996275,133
150996275,150996273,111
150996273,150996271,134
150996271,150996269,108
150996269,150996267,111
150996267,150996265,148
150996265,150996263,123
150996263,150996261,119
150996261,150996259,149
150996259,150996257,165
150996257,150996255,230
150996255,150996253,140
150996253,150996251,152
150996251,150996249,170
150996249,150996247,121
150996245,150996247,121
150996247,150996249,126
150996249,150996251,149
150996251,150996253,167
150996253,150996255,141
150996255,150996257,211
150996257,150996259,179
150996259,150996261,124
150996261,150996263,141
150996263,150996265,123
150996265,150996267,134
150996267,150996269,135
150996269,150996271,104
150996271,150996273,117
150996273,150996275,126
150996275,150996277,117
150996277,150996279,129
150996279,150996281,129
150996281,150996283,142
150996283,150996285,168
150996285,150996287,127
