isHalf,startDeviceLocation,destDeviceLocation,arriveTime
0,150996997,150997065,76364
0,150996997,150997065,76964
0,150996997,150997065,77569
0,150996997,150997065,78164
0,150996997,150997065,78764
0,150996997,150997065,79364
0,150996997,150997065,79964
0,150996997,150997065,80564
0,150996997,150997065,80984
0,150996997,150997065,81404
1,150996997,150997041,81824
0,150996997,150997065,82260
0,150996997,150997065,82664
0,150996997,150997065,83084
1,150996997,150997041,83504
0,150996997,150997065,83924
0,150996997,150997065,84344
0,150996997,150997065,84764
1,150996997,150997041,85184
0,150996997,150997065,85604
0,150996997,150997065,86024
0,150996997,150997065,44
1,150996997,150997041,464
0,150996997,150997065,884
0,150996997,150997065,1304
0,150996997,150997065,1724
1,150996997,150997041,2144
0,150996997,150997065,2564
0,150996997,150997065,2984
0,150996997,150997065,3404
1,150996997,150997041,3824
0,150996997,150997065,4244
0,150996997,150997065,4664
0,150996997,150997065,5084
1,150996997,150997041,5504
0,150996997,150997065,5924
0,150996997,150997065,6344
0,150996997,150997065,6764
1,150996997,150997041,7184
0,150996997,150997065,7604
0,150996997,150997065,8024
0,150996997,150997065,8444
1,150996997,150997041,8864
0,150996997,150997065,9284
0,150996997,150997065,9704
0,150996997,150997065,10124
1,150996997,150997041,10544
0,150996997,150997065,10964
0,150996997,150997065,11384
0,150996997,150997065,11804
1,150996997,150997041,12224
0,150996997,150997065,12644
0,150996997,150997065,13064
0,150996997,150997065,13484
1,150996997,150997041,13904
0,150996997,150997065,14324
0,150996997,150997065,14744
0,150996997,150997065,15164
1,150996997,150997041,15584
0,150996997,150997065,16004
0,150996997,150997065,16424
0,150996997,150997065,16844
1,150996997,150997041,17264
0,150996997,150997065,17684
0,150996997,150997065,18104
0,150996997,150997065,18524
1,150996997,150997041,18944
0,150996997,150997065,19364
0,150996997,150997065,19784
0,150996997,150997065,20204
0,150996997,150997065,20504
0,150996997,150997065,20804
1,150996997,150997041,21104
0,150996997,150997065,21404
0,150996997,150997065,21704
1,150996997,150997041,22004
0,150996997,150997065,22304
0,150996997,150997065,22604
1,150996997,150997041,22934
0,150996997,150997065,23204
0,150996997,150997065,23504
1,150996997,150997041,23804
0,150996997,150997065,24104
0,150996997,150997065,24404
1,150996997,150997041,24704
0,150996997,150997065,25004
0,150996997,150997065,25304
1,150996997,150997041,25604
0,150996997,150997065,25904
0,150996997,150997065,26204
1,150996997,150997041,26504
0,150996997,150997065,26804
0,150996997,150997065,27104
1,150996997,150997041,27404
0,150996997,150997065,27704
0,150996997,150997065,28034
1,150996997,150997041,28304
0,150996997,150997065,28604
0,150996997,150997065,28904
1,150996997,150997041,29204
0,150996997,150997065,29474
0,150996997,150997065,29804
1,150996997,150997041,30104
0,150996997,150997065,30404
0,150996997,150997065,30704
1,150996997,150997041,30974
0,150996997,150997065,31304
0,150996997,150997065,31604
1,150996997,150997041,31904
0,150996997,150997065,32204
0,150996997,150997065,32504
1,150996997,150997041,32804
0,150996997,150997065,33104
0,150996997,150997065,33404
1,150996997,150997041,33704
0,150996997,150997065,34004
0,150996997,150997065,34274
1,150996997,150997041,34604
0,150996997,150997065,34904
0,150996997,150997065,35204
1,150996997,150997041,35504
0,150996997,150997065,35834
0,150996997,150997065,36074
1,150996997,150997041,36404
0,150996997,150997065,36704
0,150996997,150997065,37004
1,150996997,150997041,37304
0,150996997,150997065,37604
0,150996997,150997065,37874
1,150996997,150997041,38204
0,150996997,150997065,38504
0,150996997,150997065,38804
1,150996997,150997041,39104
0,150996997,150997065,39404
0,150996997,150997065,39674
1,150996997,150997041,40004
0,150996997,150997065,40304
0,150996997,150997065,40724
0,150996997,150997065,41174
0,150996997,150997065,41564
0,150996997,150997065,41984
0,150996997,150997065,42404
0,150996997,150997065,42794
0,150996997,150997065,43244
0,150996997,150997065,43664
0,150996997,150997065,44084
0,150996997,150997065,44504
0,150996997,150997065,44924
0,150996997,150997065,45344
0,150996997,150997065,45824
0,150996997,150997065,46244
0,150996997,150997065,46664
0,150996997,150997065,47084
0,150996997,150997065,47504
0,150996997,150997065,47924
0,150996997,150997065,48344
0,150996997,150997065,48764
0,150996997,150997065,49184
0,150996997,150997065,49664
0,150996997,150997065,50144
0,150996997,150997065,50684
0,150996997,150997065,51224
0,150996997,150997065,51824
0,150996997,150997065,52424
0,150996997,150997065,53024
