isHalf,startDeviceLocation,destDeviceLocation,arriveTime
0,150996489,150996559,76405
0,150996489,150996559,76945
0,150996489,150996559,77401
0,150996489,150996559,77857
0,150996489,150996559,78313
0,150996489,150996559,78769
0,150996489,150996559,79225
0,150996489,150996559,79661
0,150996489,150996559,80107
1,150996489,150996557,80380
0,150996489,150996559,80574
1,150996489,150996557,80784
0,150996489,150996559,80974
1,150996489,150996557,81166
0,150996489,150996559,81358
0,150996489,150996559,81648
1,150996489,150996557,81872
0,150996489,150996559,82097
0,150996489,150996559,82397
1,150996489,150996557,82582
1,150996489,150996557,82737
0,150996489,150996559,83027
1,150996489,150996557,83212
0,150996489,150996559,83382
1,150996489,150996557,83567
1,150996489,150996557,83752
0,150996489,150996559,83922
1,150996489,150996557,84112
1,150996489,150996557,84292
0,150996489,150996559,84462
1,150996489,150996557,84647
1,150996489,150996557,84832
0,150996489,150996559,85012
1,150996489,150996557,85192
0,150996489,150996559,85372
1,150996489,150996557,85552
0,150996489,150996559,85732
1,150996489,150996557,85912
0,150996489,150996559,86092
1,150996489,150996557,86272
0,150996489,150996559,52
1,150996489,150996557,232
1,150996489,150996541,412
0,150996489,150996559,592
1,150996489,150996557,772
0,150996489,150996559,952
1,150996489,150996557,1132
0,150996489,150996559,1282
1,150996489,150996557,1447
1,150996489,150996541,1587
0,150996489,150996559,1712
1,150996489,150996557,1962
0,150996489,150996559,2087
1,150996489,150996541,2212
1,150996489,150996557,2337
0,150996489,150996559,2527
1,150996489,150996557,2712
1,150996489,150996541,2837
0,150996489,150996559,2962
1,150996489,150996557,3212
0,150996489,150996559,3402
1,150996489,150996557,3587
0,150996489,150996559,3837
0,150996489,150996559,4027
1,150996489,150996541,4222
1,150996489,150996541,4452
0,150996489,150996559,4632
1,150996489,150996541,4822
1,150996489,150996557,4972
0,150996489,150996559,5282
1,150996489,150996541,5462
0,150996489,150996559,5732
1,150996489,150996541,5912
0,150996489,150996559,6092
1,150996489,150996541,6242
0,150996489,150996559,6367
1,150996489,150996541,6662
0,150996489,150996559,6842
1,150996489,150996541,7022
1,150996489,150996557,7202
1,150996489,150996541,7382
0,150996489,150996559,7562
1,150996489,150996541,7772
0,150996489,150996559,7982
1,150996489,150996541,8207
0,150996489,150996559,8432
1,150996489,150996541,8627
0,150996489,150996559,8822
1,150996489,150996541,9047
0,150996489,150996559,9258
1,150996489,150996541,9483
0,150996489,150996559,9708
1,150996489,150996541,9933
0,150996489,150996559,10158
0,150996489,150996559,10608
0,150996489,150996559,11058
0,150996489,150996559,11508
0,150996489,150996559,11958
0,150996489,150996559,12408
0,150996489,150996559,12858
0,150996489,150996559,13308
0,150996489,150996559,13758
0,150996489,150996559,14208
0,150996489,150996559,14658
0,150996489,150996559,15108
0,150996489,150996559,15498
0,150996489,150996559,16008
0,150996489,150996559,16458
0,150996489,150996559,16908
0,150996489,150996559,17358
0,150996489,150996559,17808
0,150996489,150996559,18258
0,150996489,150996559,18708
0,150996489,150996559,19158
0,150996489,150996559,19608
0,150996489,150996559,20058
0,150996489,150996559,20508
0,150996489,150996559,20958
0,150996489,150996559,21408
0,150996489,150996559,21858
0,150996489,150996559,22308
0,150996489,150996559,22752
0,150996489,150996559,23208
0,150996489,150996559,23658
0,150996489,150996559,24108
0,150996489,150996559,24558
0,150996489,150996559,25008
0,150996489,150996559,25458
0,150996489,150996559,25908
0,150996489,150996559,26358
0,150996489,150996559,26808
0,150996489,150996559,27258
0,150996489,150996559,27708
0,150996489,150996559,28158
0,150996489,150996559,28578
0,150996489,150996559,28968
1,150996489,150996557,29334
0,150996489,150996559,29574
1,150996489,150996557,29874
0,150996489,150996559,30174
1,150996489,150996557,30414
0,150996489,150996559,30714
1,150996489,150996557,30954
0,150996489,150996559,31224
1,150996489,150996557,31434
1,150996489,150996557,31644
0,150996489,150996559,31824
1,150996489,150996557,32004
0,150996489,150996559,32214
1,150996489,150996557,32454
0,150996489,150996559,32664
1,150996489,150996557,32844
1,150996489,150996557,33024
0,150996489,150996559,33174
1,150996489,150996557,33414
1,150996489,150996557,33614
0,150996489,150996559,33749
1,150996489,150996557,33954
1,150996489,150996557,34144
0,150996489,150996559,34274
1,150996489,150996557,34474
1,150996489,150996557,34664
0,150996489,150996559,34794
1,150996489,150996557,34924
1,150996489,150996557,35054
1,150996489,150996557,35184
0,150996489,150996559,35314
1,150996489,150996557,35444
1,150996489,150996557,35574
1,150996489,150996557,35704
0,150996489,150996559,35834
1,150996489,150996557,35964
1,150996489,150996557,36094
1,150996489,150996557,36224
0,150996489,150996559,36354
1,150996489,150996557,36484
1,150996489,150996547,36614
0,150996489,150996559,36744
1,150996489,150996557,36874
1,150996489,150996547,37004
0,150996489,150996559,37134
1,150996489,150996557,37264
1,150996489,150996541,37394
0,150996489,150996559,37524
1,150996489,150996557,37654
1,150996489,150996547,37784
0,150996489,150996559,37914
1,150996489,150996541,38044
1,150996489,150996547,38174
0,150996489,150996559,38304
1,150996489,150996541,38434
1,150996489,150996547,38564
0,150996489,150996559,38694
1,150996489,150996541,38824
1,150996489,150996547,38964
