isHalf,startDeviceLocation,destDeviceLocation,arriveTime
0,151019792,150995204,20058
0,151019792,150995204,20658
0,151019792,150995204,21303
0,151019792,150995204,21783
0,151019792,150995204,22388
0,151019792,150995204,22978
0,151019792,150995204,23588
0,151019792,150995204,23948
0,151019792,150995204,24308
0,151019792,150995204,24728
0,151019792,150995204,25028
0,151019792,150995204,25323
0,151019792,150995204,25593
0,151019792,150995204,25858
0,151019792,150995204,26098
0,151019792,150995204,26338
0,151019792,150995204,26728
0,151019792,150995204,27118
0,151019792,150995204,27508
0,151019792,150995204,27898
0,151019792,150995204,28276
0,151019792,150995204,28648
0,151019792,150995204,28978
1,151019792,150995210,29308
0,151019792,150995204,29578
0,151019792,150995204,29848
0,151019792,150995204,30118
1,151019792,150995210,30388
0,151019792,150995204,30658
0,151019792,150995204,30928
0,151019792,150995204,31198
1,151019792,150995210,31468
0,151019792,150995204,31738
0,151019792,150995204,32056
0,151019792,150995204,32278
1,151019792,150995210,32548
0,151019792,150995204,32818
0,151019792,150995204,33136
0,151019792,150995204,33358
1,151019792,150995210,33628
0,151019792,150995204,33898
0,151019792,150995204,34168
0,151019792,150995204,34438
1,151019792,150995210,34698
0,151019792,150995204,34978
0,151019792,150995204,35248
0,151019792,150995204,35518
1,151019792,150995210,35788
0,151019792,150995204,36058
0,151019792,150995204,36328
0,151019792,150995204,36598
1,151019792,150995210,36868
0,151019792,150995204,37138
0,151019792,150995204,37408
0,151019792,150995204,37678
1,151019792,150995210,37978
0,151019792,150995204,38248
0,151019792,150995204,38548
0,151019792,150995204,38878
0,151019792,150995204,39178
0,151019792,150995204,39478
0,151019792,150995204,39778
1,151019792,150995210,40078
0,151019792,150995204,40355
0,151019792,150995204,40678
0,151019792,150995204,40978
1,151019792,150995210,41218
0,151019792,150995204,41555
0,151019792,150995204,41878
0,151019792,150995204,42178
1,151019792,150995210,42495
0,151019792,150995204,42755
0,151019792,150995204,43078
0,151019792,150995204,43378
1,151019792,150995210,43678
0,151019792,150995204,43948
0,151019792,150995204,44278
0,151019792,150995204,44578
1,151019792,150995210,44878
0,151019792,150995204,45148
0,151019792,150995204,45478
0,151019792,150995204,45778
1,151019792,150995210,46078
0,151019792,150995204,46348
0,151019792,150995204,46678
0,151019792,150995204,46978
1,151019792,150995210,47231
0,151019792,150995204,47548
0,151019792,150995204,47878
0,151019792,150995204,48178
1,151019792,150995210,48428
0,151019792,150995204,48748
0,151019792,150995204,49078
0,151019792,150995204,49378
1,151019792,150995210,49638
0,151019792,150995204,49948
0,151019792,150995204,50278
0,151019792,150995204,50578
1,151019792,150995210,50838
0,151019792,150995204,51148
0,151019792,150995204,51478
0,151019792,150995204,51778
1,151019792,150995210,52038
0,151019792,150995204,52348
0,151019792,150995204,52678
0,151019792,150995204,52978
1,151019792,150995210,53235
0,151019792,150995204,53548
0,151019792,150995204,53878
0,151019792,150995204,54178
1,151019792,150995210,54438
0,151019792,150995204,54748
0,151019792,150995204,55078
0,151019792,150995204,55378
1,151019792,150995210,55638
0,151019792,150995204,55948
0,151019792,150995204,56278
0,151019792,150995204,56578
1,151019792,150995210,56838
0,151019792,150995204,57148
0,151019792,150995204,57478
0,151019792,150995204,57778
1,151019792,150995210,58038
0,151019792,150995204,58348
0,151019792,150995204,58678
0,151019792,150995204,58978
1,151019792,150995210,59238
0,151019792,150995204,59548
0,151019792,150995204,59878
0,151019792,150995204,60178
1,151019792,150995210,60438
0,151019792,150995204,60748
0,151019792,150995204,61048
0,151019792,150995204,61348
1,151019792,150995210,61618
0,151019792,150995204,61879
0,151019792,150995204,62158
0,151019792,150995204,62428
0,151019792,150995204,62705
1,151019792,150995210,62981
0,151019792,150995204,63249
0,151019792,150995204,63508
0,151019792,150995204,63768
1,151019792,150995210,64015
0,151019792,150995204,64299
0,151019792,150995204,64588
0,151019792,150995204,64858
0,151019792,150995204,65128
1,151019792,150995210,65363
0,151019792,150995204,65659
0,151019792,150995204,65978
0,151019792,150995204,66238
1,151019792,150995210,66521
0,151019792,150995204,66769
0,151019792,150995204,67018
0,151019792,150995204,67328
0,151019792,150995204,67598
1,151019792,150995210,67871
0,151019792,150995204,68119
0,151019792,150995204,68368
0,151019792,150995204,68678
1,151019792,150995210,68951
0,151019792,150995204,69199
0,151019792,150995204,69508
0,151019792,150995204,69838
0,151019792,150995204,70138
0,151019792,150995204,70438
0,151019792,150995204,70729
0,151019792,150995204,71038
0,151019792,150995204,71381
0,151019792,150995204,71629
0,151019792,150995204,71938
0,151019792,150995204,72238
0,151019792,150995204,72538
0,151019792,150995204,72838
0,151019792,150995204,73129
0,151019792,150995204,73438
0,151019792,150995204,73801
0,151019792,150995204,74089
0,151019792,150995204,74398
0,151019792,150995204,74698
0,151019792,150995204,74998
0,151019792,150995204,75298
0,151019792,150995204,75598
0,151019792,150995204,75888
0,151019792,150995204,76198
0,151019792,150995204,76498
0,151019792,150995204,76798
0,151019792,150995204,77098
0,151019792,150995204,77428
0,151019792,150995204,77788
0,151019792,150995204,78161
0,151019792,150995204,78508
0,151019792,150995204,78798
0,151019792,150995204,79138
0,151019792,150995204,79498
0,151019792,150995204,79918
0,151019792,150995204,80338
0,151019792,150995204,80758
0,151019792,150995204,81168
0,151019792,150995204,81603
0,151019792,150995204,81978
0,151019792,150995204,82358
0,151019792,150995204,82798
0,151019792,150995204,83218
0,151019792,150995204,83638
0,151019792,150995204,84058
0,151019792,150995204,84478
0,151019792,150995204,84898
0,151019792,150995204,85318
0,151019792,150995204,85743
